region,date,qc_pass,qc_fail,gisaid
Canada,2021-04-30,85522,17398,28840
Alberta,2021-05-07,15590,1223,1675
British Columbia,2021-05-07,28242,4675,5876
Manitoba,2021-05-07,2035,347,1344
New Brunswick,2021-05-07,705,132,382
Newfoundland and Labrador,2021-05-07,366,59,272
Nova Scotia,2021-05-07,1248,306,1086
Ontario,2021-05-07,19385,4948,13025
Prince Edward Island,2021-05-07,104,36,0
Quebec,2021-05-07,21309,5008,5717
Saskatchewan,2021-05-07,4887,1470,0
Canada,2021-05-07,93871,18204,29377
Alberta,2021-05-14,16426,1303,9430
British Columbia,2021-05-14,29968,5025,5876
Manitoba,2021-05-14,2095,364,1344
New Brunswick,2021-05-14,734,137,382
Newfoundland and Labrador,2021-05-14,381,61,301
Nova Scotia,2021-05-14,1248,306,1181
Ontario,2021-05-14,20909,5100,14332
Prince Edward Island,2021-05-14,107,38,0
Quebec,2021-05-14,23191,5087,5319
Saskatchewan,2021-05-14,6100,1830,0
Canada,2021-05-14,101159,19251,38165
Alberta,2021-05-21,17632,1560,9430
British Columbia,2021-05-21,32003,5446,5876
Manitoba,2021-05-21,2136,367,1344
New Brunswick,2021-05-21,783,141,382
Newfoundland and Labrador,2021-05-21,399,61,301
Nova Scotia,2021-05-21,1268,312,1181
Ontario,2021-05-21,23460,5222,18664
Prince Edward Island,2021-05-21,112,49,0
Quebec,2021-05-21,23191,6184,5319
Saskatchewan,2021-05-21,6782,1975,0
Canada,2021-05-21,107766,21317,42497
Alberta,2021-05-28,17892,1657,9430
British Columbia,2021-05-28,32003,5446,5876
Manitoba,2021-05-28,2253,372,1344
New Brunswick,2021-05-28,837,145,382
Newfoundland and Labrador,2021-05-28,432,66,301
Nova Scotia,2021-05-28,1268,312,1181
Ontario,2021-05-28,24280,5259,18309
Prince Edward Island,2021-05-28,113,50,0
Quebec,2021-05-28,25589,6184,6238
Saskatchewan,2021-05-28,6863,1981,0
Canada,2021-05-28,111530,21472,43061
Alberta,2021-06-04,18818,1753,9430
British Columbia,2021-06-04,35797,6397,5876
Manitoba,2021-06-04,2358,375,1344
New Brunswick,2021-06-04,886,148,382
Newfoundland and Labrador,2021-06-04,444,68,302
Nova Scotia,2021-06-04,1268,312,1181
Ontario,2021-06-04,24882,5311,18757
Prince Edward Island,2021-06-04,114,50,0
Quebec,2021-06-04,25896,6917,6879
Saskatchewan,2021-06-04,7198,2026,0
Canada,2021-06-04,117661,23357,44151
Alberta,2021-06-11,19792,1794,11760
British Columbia,2021-06-11,35797,6397,15727
Manitoba,2021-06-11,2485,382,1690
New Brunswick,2021-06-11,929,153,476
Newfoundland and Labrador,2021-06-11,450,70,353
Nova Scotia,2021-06-11,1268,312,1181
Ontario,2021-06-11,27014,5515,20451
Prince Edward Island,2021-06-11,114,52,0
Quebec,2021-06-11,28069,7386,6879
Saskatchewan,2021-06-11,7644,2132,2938
Canada,2021-06-11,123562,24193,61455
Alberta,2021-06-18,20437,1839,11760
British Columbia,2021-06-18,35797,6397,19656
Manitoba,2021-06-18,2677,389,1690
New Brunswick,2021-06-18,956,156,476
Newfoundland and Labrador,2021-06-18,450,70,353
Nova Scotia,2021-06-18,1314,331,1181
Ontario,2021-06-18,29154,5701,21728
Prince Edward Island,2021-06-18,114,52,0
Quebec,2021-06-18,29240,7150,7595
Saskatchewan,2021-06-18,7971,2187,3406
Canada,2021-06-18,128110,24272,67845
