region,date,voc,total
Yukon,2021-04-12,gamma,0
Canada,2021-04-12,gamma,1212
Alberta,2021-04-19,alpha,16428
British Columbia,2021-04-19,alpha,3858
Manitoba,2021-04-19,alpha,621
New Brunswick,2021-04-19,alpha,180
Newfoundland and Labrador,2021-04-19,alpha,178
Northwest Territories,2021-04-19,alpha,1
Nova Scotia,2021-04-19,alpha,63
Nunavut,2021-04-19,alpha,0
Ontario,2021-04-19,alpha,34112
Prince Edward Island,2021-04-19,alpha,6
Quebec,2021-04-19,alpha,2554
Saskatchewan,2021-04-19,alpha,1909
Yukon,2021-04-19,alpha,1
Canada,2021-04-19,alpha,59911
Alberta,2021-04-19,beta,31
British Columbia,2021-04-19,beta,71
Manitoba,2021-04-19,beta,20
New Brunswick,2021-04-19,beta,4
Newfoundland and Labrador,2021-04-19,beta,1
Northwest Territories,2021-04-19,beta,0
Nova Scotia,2021-04-19,beta,12
Nunavut,2021-04-19,beta,0
Ontario,2021-04-19,beta,104
Prince Edward Island,2021-04-19,beta,0
Quebec,2021-04-19,beta,163
Saskatchewan,2021-04-19,beta,9
Yukon,2021-04-19,beta,0
Canada,2021-04-19,beta,415
Alberta,2021-04-19,gamma,168
British Columbia,2021-04-19,gamma,1810
Manitoba,2021-04-19,gamma,1
New Brunswick,2021-04-19,gamma,0
Newfoundland and Labrador,2021-04-19,gamma,0
Northwest Territories,2021-04-19,gamma,0
Nova Scotia,2021-04-19,gamma,1
Nunavut,2021-04-19,gamma,0
Ontario,2021-04-19,gamma,207
Prince Edward Island,2021-04-19,gamma,0
Quebec,2021-04-19,gamma,8
Saskatchewan,2021-04-19,gamma,0
Yukon,2021-04-19,gamma,1
Canada,2021-04-19,gamma,2196
Alberta,2021-04-26,alpha,23729
British Columbia,2021-04-26,alpha,4041
Manitoba,2021-04-26,alpha,858
New Brunswick,2021-04-26,alpha,180
Newfoundland and Labrador,2021-04-26,alpha,178
Northwest Territories,2021-04-26,alpha,1
Nova Scotia,2021-04-26,alpha,73
Nunavut,2021-04-26,alpha,0
Ontario,2021-04-26,alpha,52398
Prince Edward Island,2021-04-26,alpha,10
Quebec,2021-04-26,alpha,3331
Saskatchewan,2021-04-26,alpha,2138
Yukon,2021-04-26,alpha,1
Canada,2021-04-26,alpha,86938
Alberta,2021-04-26,beta,71
British Columbia,2021-04-26,beta,76
Manitoba,2021-04-26,beta,20
New Brunswick,2021-04-26,beta,4
Newfoundland and Labrador,2021-04-26,beta,1
Northwest Territories,2021-04-26,beta,0
Nova Scotia,2021-04-26,beta,12
Nunavut,2021-04-26,beta,0
Ontario,2021-04-26,beta,164
Prince Edward Island,2021-04-26,beta,0
Quebec,2021-04-26,beta,186
Saskatchewan,2021-04-26,beta,9
Yukon,2021-04-26,beta,0
Canada,2021-04-26,beta,543
Alberta,2021-04-26,gamma,708
British Columbia,2021-04-26,gamma,2062
Manitoba,2021-04-26,gamma,4
